YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
428,550,HHTA1B          ,870.125,836.125,91.824,0,646.273,88.438,0.044,0.394,1.37,0.045
412,541,HHTA1B          ,864.75,840.375,100,0,673.924,83.246,0.041,0.392,1.34,0.041
325,468,HDR09C          ,857.5,838.625,100,0,689.523,93.839,0.045,0.328,0.99,0.001
387,510,HHTA1B          ,861.75,827.5,76.882,23.118,685.497,76.757,0.045,0.393,1.35,0.043
372,538,HHTA1B          ,861.875,843.125,100,0,672.885,91.705,0.041,0.392,1.34,0.041
380,511,HDR09C          ,882.125,843.625,94.093,0,638.775,96.219,0.038,0.345,1.04,0.001
357,499,HDR09C          ,870.375,836.125,92.89,0,648.277,95.444,0.045,0.358,1.07,0.001
507,607,HHTA1B          ,873.375,821.625,97.408,0.409,635.517,98.774,0.045,0.384,1.32,0.047
500,607,HHTA1B          ,873.375,821.625,97.408,0.409,635.517,98.774,0.045,0.384,1.32,0.047
372,552,HHTA1B          ,866.875,838.125,97.009,0,667.285,96.581,0.045,0.393,1.35,0.043
402,530,HHTA1B          ,872,826.375,93.147,0.254,628.31,99.748,0.043,0.404,1.35,0.046
387,520,HHTA1B          ,884,847.375,85.446,0,682.128,92.958,0.045,0.396,1.32,0.041
410,539,HHTA1B          ,872.625,830.875,89.474,5.263,684.514,98.79,0.038,0.39,1.3,0.043
403,526,HHTA1B          ,879.75,842.125,90,0,673.729,86.957,0.044,0.396,1.31,0.042
400,524,HHTA1B          ,869.875,844.5,94.783,0,690.567,51.304,0.045,0.389,1.36,0.043
391,521,HHTA1B          ,864.875,840,100,0,650.28,86.501,0.039,0.387,1.36,0.043
424,532,HHTA1B          ,866.25,843.625,99.505,0,632.36,87.931,0.038,0.389,1.35,0.046
328,467,HDR09C          ,875.125,834.5,88.656,0,680.964,91.597,0.037,0.33,1,0.001
408,532,HHTA1B          ,873.25,839.5,93.023,0,665.26,87.086,0.045,0.402,1.38,0.047
382,532,HHTA1B          ,877.5,839.125,92.593,0,677.042,76.037,0.041,0.392,1.34,0.041
462,553,HHTA1B          ,877,827,96.929,0.267,629.46,98.394,0.036,0.402,1.37,0.048
469,585,HHTA1B          ,869.25,847.125,97.037,0,673.614,87.454,0.045,0.389,1.33,0.043
420,535,HHTA1B          ,864.625,834.5,99.672,0.328,639.017,83.062,0.04,0.394,1.33,0.045
332,476,HDR09C          ,870.5,834.375,95.745,1.596,683.455,94.149,0.045,0.348,1.03,0.001
327,475,HDR09C          ,865.25,823.875,76.271,23.305,677.533,89.03,0.045,0.348,1.03,0.001
301,449,HDR09C          ,866.625,830.375,94.815,0,682.433,96.324,0.045,0.325,0.96,0.001
404,534,HHTA1B          ,867.75,850.875,95.89,0,691.159,97.717,0.043,0.393,1.36,0.044
414,533,HHTA1B          ,870.5,836,97.972,1.826,661.888,92.153,0.039,0.392,1.37,0.047
376,541,HHTA1B          ,876.5,844.625,95.935,0,659.811,89.669,0.039,0.392,1.37,0.047
